data
0,31,397,0,0,0
288,1,359,0,38,0
576,2,320,0,77,0
864,3,281,0,116,0
1152,4,242,0,155,0
1440,5,203,0,194,0
1728,6,165,0,232,0
2016,7,127,0,270,0
2304,8,89,0,308,0
2592,9,52,0,345,0
2880,10,47,0,350,0
3168,11,46,0,351,0
3456,12,45,0,352,0
3744,13,45,0,352,0
4032,14,44,0,353,0
4320,15,44,0,353,0
4608,16,41,0,356,0
0,31,397,0,0,0
288,1,356,0,41,0
576,2,317,5499590,80,0
864,3,277,5499590,120,0
0,31,397,0,0,0
288,1,357,400,40,10
0,31,397,0,0,0
0,31,397,0,0,0
0,31,347,0,0,0
0,31,347,0,0,0
0,31,397,0,0,0
288,1,357,5499590,40,10
576,2,317,5499590,80,10
864,3,278,5499590,119,10
1152,4,239,5499590,158,10
1440,5,200,5499590,197,10
1728,6,161,5499590,236,5499590
2016,7,122,5499590,275,5499590
2304,8,82,5499590,315,5499590
2592,9,47,5499590,350,10
2880,10,47,5499590,350,10
3168,11,47,5499590,350,10
3456,12,47,5499590,350,10
3744,13,44,5499590,353,10
4032,14,42,5499590,355,10
4320,15,42,5499590,355,5499590
4608,16,42,5499590,355,10
4896,17,41,5499590,356,10
5184,18,41,5499590,356,10
5472,19,40,5499590,357,10
0,31,397,0,0,0
288,1,357,5499590,40,10
576,2,318,5499590,79,10
864,3,279,5499590,118,10
1152,4,240,5499590,157,10
1440,5,200,5499590,197,10
1728,6,160,5499590,237,10
2016,7,120,5499590,277,10
