#;age;current_edge;current_objective;current_path;current_route;current_state;destination;heading;indicators_values;indicators_weights;location;locations;name;occupation;preferences;real_speed;safety_perception;social_circle;speed;vision_radius
825;48;nil;nil;nil;nil;'stay';{1140.9052142589155,1463.4725504197881,0.0};127.18396625380902;map([]);map(['police_patrols'::0.25,'lighting_uniformity_radius'::0.25,'pavement_condition'::0.1,'wm_ratio'::0.4]);{1159.0364999269757,1439.5715780541457,0.0};map(['home'::{1159.0364999269757,1439.5715780541457,0.0},'school'::{2054.35974446591,402.3078035262006,0.0},'work'::{2051.7616218614858,982.455307726108,0.0},'leisure'::{1843.3664637608454,1347.4586375374056,0.0}]);'people825';'student';[];0.0;0.0;[people(841)];1.0;30.0
1297;63;nil;nil;nil;nil;'stay';{1188.849454065485,1442.9163897880326,0.0};6.401429401801435;map([]);map(['police_patrols'::0.25,'lighting_uniformity_radius'::0.25,'pavement_condition'::0.1,'wm_ratio'::0.4]);{1159.0364999269757,1439.5715780541457,0.0};map(['home'::{1159.0364999269757,1439.5715780541457,0.0},'school'::{1798.9298147716825,1107.0094508437408,0.0},'work'::{1673.1132987433114,892.994614305417,0.0},'leisure'::{1262.9803886216832,1381.3779003119853,0.0}]);'people1297';'student';[];0.0;0.0;[people(825)];1.0;30.0
