ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
14,001,0000,140010000513,2,14-001-0000-05,00050,4,01,14001000051301,01,1,1,23,04,2017,0101,014,221,1,,,,,,2
14,001,0000,140010000577,2,14-001-0000-05,00053,4,02,14001000057701,01,1,1,27,08,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000581,2,14-001-0000-05,00054,3,01,14001000058101,01,1,3,17,11,2017,0101,014,221,1,,,,,,2
14,001,0000,140010000583,2,14-001-0000-05,00054,3,01,14001000058301,01,1,1,57,01,2020,0101,014,221,1,,,,,,2
14,001,0000,140010000583,2,14-001-0000-05,00054,3,01,14001000058302,02,1,1,20,02,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000598,2,14-001-0000-05,00056,4,01,14001000059801,01,1,1,31,11,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000615,2,14-001-0000-05,00057,4,01,14001000061501,01,1,1,21,08,2017,0101,014,221,3,11,2019,0301,1,03,2
14,001,0000,140010000622,2,14-001-0000-05,00057,4,02,14001000062201,01,1,1,63,08,2019,0301,014,221,3,09,2019,0301,1,01,2
14,001,0000,140010000622,2,14-001-0000-05,00057,4,02,14001000062202,02,1,3,60,08,2019,0301,014,221,1,,,,,,2
14,001,0000,140010000632,2,14-001-0000-05,00057,4,01,14001000063201,01,1,3,23,08,2018,0401,014,221,1,,,,,,2
14,001,0000,140010000653,2,14-001-0000-05,00058,4,03,14001000065301,01,1,3,22,02,2019,0401,014,221,1,,,,,,2
14,001,0000,140010000667,2,14-001-0000-05,00058,4,01,14001000066701,01,1,3,17,02,2016,0401,014,999,9,,,,,,2
14,001,0000,140010000671,2,14-001-0000-05,00058,4,01,14001000067101,01,1,1,31,09,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000701,2,14-001-0000-05,00060,3,01,14001000070101,01,1,1,35,03,2015,0101,014,221,3,11,2019,0301,1,03,2
14,001,0000,140010000713,2,14-001-0000-05,00062,4,01,14001000071301,01,1,1,33,11,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000715,2,14-001-0000-05,00062,4,01,14001000071501,01,1,1,24,05,2019,0102,014,221,3,10,2019,0101,1,01,2
14,001,0000,140010000717,2,14-001-0000-05,00063,4,01,14001000071701,01,1,1,19,02,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000743,2,14-001-0000-05,00067,3,01,14001000074301,01,1,3,15,03,2020,0501,014,221,1,,,,,,2
14,001,0000,140010000749,2,14-001-0000-05,00067,3,01,14001000074901,01,1,1,41,03,2020,0101,014,221,1,,,,,,2
14,001,0000,140010000782,2,14-001-0000-05,00069,4,02,14001000078201,01,1,1,16,09,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000794,2,14-001-0000-05,00069,4,02,14001000079401,01,1,1,23,02,2018,0101,014,221,1,,,,,,2
14,001,0000,140010000818,2,14-001-0000-05,00071,4,01,14001000081801,01,1,1,15,11,2015,0309,014,221,3,02,2020,0301,1,03,2
14,001,0000,140010000829,2,14-001-0000-05,00071,4,01,14001000082901,02,1,3,33,04,2019,0101,014,221,3,11,2019,0301,1,02,2
14,001,0000,140010000829,2,14-001-0000-05,00071,4,01,14001000082902,03,1,3,15,04,2019,0501,014,221,3,11,2019,0301,1,03,2
14,001,0000,140010000829,2,14-001-0000-05,00071,4,01,14001000082903,04,1,3,5,04,2019,0501,014,221,3,11,2019,0301,1,04,2
14,001,0000,140010000829,2,14-001-0000-05,00071,4,01,14001000082904,01,1,1,39,04,2019,0101,014,221,3,11,2019,0301,1,01,2
14,001,0000,140010000834,2,14-001-0000-05,00073,4,01,14001000083401,01,1,1,34,03,2019,0101,014,221,1,,,,,,2
14,001,0000,140010000849,2,14-001-0000-05,00077,4,01,14001000084901,01,1,1,28,04,2015,0101,014,221,3,01,2016,0301,1,01,2
14,001,0000,140010000871,2,14-001-0000-03,00003,5,01,14001000087101,01,1,1,20,12,2019,0101,014,221,1,,,,,,1
14,001,0000,140010000871,2,14-001-0000-03,00003,5,01,14001000087102,02,1,3,17,01,2020,0101,014,221,1,,,,,,1
14,001,0000,140010000881,2,14-001-0000-03,00003,5,01,14001000088101,01,1,1,22,12,2018,0101,014,221,1,,,,,,1
14,001,0000,140010000881,2,14-001-0000-03,00003,5,01,14001000088102,02,1,1,18,08,2017,0101,014,221,1,,,,,,1
14,001,0000,140010000882,2,14-001-0000-03,00003,5,01,14001000088201,01,1,1,17,09,2017,0101,014,221,1,,,,,,1
14,001,0000,140010000890,2,14-001-0000-03,00003,5,01,14001000089001,01,1,1,44,07,2017,0101,014,221,1,,,,,,1
14,001,0000,140010000891,2,14-001-0000-03,00003,5,01,14001000089101,01,1,3,24,01,2020,0301,014,221,3,03,2020,0301,1,99,1
14,001,0000,140010000916,2,14-001-0000-03,00006,5,02,14001000091601,01,1,1,36,12,2017,0301,014,221,3,06,2018,0301,1,01,1
14,001,0000,140010000916,2,14-001-0000-03,00006,5,02,14001000091602,02,1,3,35,12,2018,0301,014,221,1,,,,,,1
14,001,0000,140010000952,2,14-001-0000-03,00015,5,01,14001000095201,01,1,1,36,10,2016,0101,014,221,3,03,2019,0301,1,01,2
14,001,0000,140010000982,2,14-001-0000-03,00010,5,01,14001000098201,01,1,1,25,08,2015,0101,014,221,1,,,,,,2
14,001,0000,140010001126,2,14-001-0000-03,00019,5,01,14001000112601,01,1,1,26,09,2016,0101,014,221,3,09,2019,0301,1,01,2
14,001,0000,140010001157,2,14-001-0000-03,00020,5,02,14001000115701,01,1,3,31,02,2017,0401,014,221,1,,,,,,1
14,001,0000,140010001164,2,14-001-0000-03,00020,5,01,14001000116401,01,1,1,19,03,2017,0101,014,221,1,,,,,,1
14,001,0000,140010001164,2,14-001-0000-03,00020,5,01,14001000116402,02,1,1,30,03,2020,0101,014,221,1,,,,,,1
14,001,0000,140010001190,2,14-001-0000-03,00023,6,01,14001000119001,02,1,3,23,04,2018,0401,014,221,1,,,,,,1
14,001,0000,140010001190,2,14-001-0000-03,00023,6,01,14001000119002,03,1,1,11,11,2018,0501,014,221,1,,,,,,1
14,001,0000,140010001190,2,14-001-0000-03,00023,6,01,14001000119003,04,1,3,10,11,2018,0501,014,221,1,,,,,,1
14,001,0000,140010001198,2,14-001-0000-03,00026,5,02,14001000119801,01,1,3,41,03,2016,0101,014,221,1,,,,,,1
14,001,0000,140010001198,2,14-001-0000-03,00026,5,02,14001000119802,02,1,3,30,06,2015,0101,014,999,3,02,2018,0301,3,,1
14,001,0000,140010001204,2,14-001-0000-03,00026,5,01,14001000120401,01,1,3,18,06,2015,0401,014,221,3,03,2019,0401,3,,1
14,001,0000,140010001221,2,14-001-0000-03,00028,6,01,14001000122101,01,1,1,18,11,2016,0102,014,221,1,,,,,,1
14,001,0000,140010001250,2,14-001-0000-03,00032,6,01,14001000125001,01,1,1,21,06,2015,9999,999,999,9,,,,,,1
14,001,0000,140010001251,2,14-001-0000-03,00032,6,01,14001000125101,01,1,3,25,08,2016,0101,014,221,1,,,,,,1
14,001,0000,140010001344,2,14-001-0000-03,00035,5,01,14001000134401,01,1,1,19,07,2018,0101,014,221,1,,,,,,1
14,001,0000,140010001388,2,14-001-0000-03,00035,5,01,14001000138801,01,1,1,24,03,2017,0101,014,221,1,,,,,,1
14,001,0000,140010001391,2,14-001-0000-03,00035,5,01,14001000139101,01,1,1,24,07,2018,0101,014,221,1,,,,,,1
14,001,0000,140010001401,2,14-001-0000-03,00035,5,01,14001000140101,01,1,1,35,08,2018,0101,014,221,1,,,,,,1
14,001,0000,140010001408,2,14-001-0000-03,00035,5,01,14001000140801,01,1,1,28,08,2019,0101,014,221,1,,,,,,1
